predicted_priority_rank,platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,predictive_rank_score,decision_band,explanation_index,signal_decomposition_index,action_band,risk_flag,top_positive_signal,top_negative_signal,model_probability_raw,probability_band,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,ranking_basis,score_role
40,ba_14692505,2025-09,본죽&비빔밥 울산남목점,본그룹,백반·죽·국수,울산광역시,동구,0.4698795180722891,Priority Review,78.87,78.87,Immediate Review,none,operation,review_growth,0.4698795180722891,2,94.24270909535964,69.3546353332886,43.31984210526316,97.37213523046448,74.38276657406611,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
41,ba_14691245,2025-09,본죽&비빔밥 대구동성로점,본그룹,백반·죽·국수,대구광역시,중구,0.4698795180722891,Priority Review,78.83,78.83,Immediate Review,none,operation,market_fit,0.4698795180722891,2,92.42943362497086,63.856077979903446,52.850868421052645,96.75876921392674,80.77199424913367,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
42,ba_14691130,2025-09,본죽 부산진역점,본그룹,백반·죽·국수,부산광역시,동구,0.4698795180722891,Priority Review,78.58,78.58,Immediate Review,none,operation,market_fit,0.4698795180722891,2,92.9420878569634,62.97157323555066,50.99818421052632,99.07513145695704,77.94844266237003,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
43,ba_14692060,2025-09,본죽&비빔밥 돌곶이역점,본그룹,백반·죽·국수,서울특별시,성북구,0.4698795180722891,Priority Review,78.04,78.04,Immediate Review,none,operation,review_growth,0.4698795180722891,2,91.67821126965512,79.05882474225548,52.850868421052645,92.28514447436034,57.647165845743785,65.91649456475639,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
44,ba_14687326,2025-09,본죽&비빔밥 개봉점,본그룹,백반·죽·국수,서울특별시,구로구,0.4698795180722891,Priority Review,77.84,77.84,Immediate Review,none,operation,stability,0.4698795180722891,2,92.90410772545468,70.52061371495596,66.16542105263159,97.40296817321872,45.28519476929497,65.53632359625729,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
45,ba_14687382,2025-09,본죽&비빔밥 노량진점,본그룹,백반·죽·국수,서울특별시,동작구,0.4698795180722891,Priority Review,77.81,77.81,Immediate Review,stability_risk,operation,stability,0.4698795180722891,2,90.7044409785318,91.21841492940962,52.47447368421053,97.74272924143264,36.0510644758559,51.94687927239535,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
46,ba_14691361,2025-09,본죽&비빔밥 경산옥곡점,본그룹,백반·죽·국수,경상북도,경산시,0.4698795180722891,Priority Review,77.75,77.75,Immediate Review,none,operation,market_fit,0.4698795180722891,2,92.10480344276674,60.68681695849845,65.94426315789474,97.69902429345092,58.0007349529166,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
47,ba_14691116,2025-09,본죽&비빔밥 대구칠곡관음점,본그룹,백반·죽·국수,대구광역시,북구,0.4698795180722891,Priority Review,77.5,77.5,Immediate Review,none,operation,market_fit,0.4698795180722891,2,91.09849192935596,52.35228412165333,70.52631578947368,96.62974981269308,74.53451510964503,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
48,ba_14694620,2025-09,본죽&비빔밥 경산신대부적점,본그룹,백반·죽·국수,경상북도,경산시,0.4698795180722891,Priority Review,77.08,77.08,Immediate Review,none,operation,market_fit,0.4698795180722891,2,93.32519233172052,50.229902838275656,62.40602631578948,97.48229564729508,78.76469658784981,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
49,ba_14692194,2025-09,본죽&비빔밥 익산영등제일점,본그룹,백반·죽·국수,전북특별자치도,익산시,0.4698795180722891,Priority Review,77.0,77.0,Immediate Review,none,model_probability,review_growth,0.4698795180722891,2,92.30642411603192,89.41643826216855,42.98244736842105,55.0900732464138,76.29280977251531,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
50,ba_14691975,2025-09,본죽&비빔밥 백양산롯데캐슬점,본그룹,백반·죽·국수,부산광역시,부산진구,0.4698795180722891,Priority Review,76.99,76.99,Immediate Review,none,operation,market_fit,0.4698795180722891,2,91.87898337611932,66.73475338660441,52.429157894736846,97.50774030879128,56.57149197608651,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
51,ba_14688746,2025-09,본죽&비빔밥 광명소하지구점,본그룹,백반·죽·국수,경기도,광명시,0.4698795180722891,Priority Review,76.84,76.84,Secondary Review,none,growth_alpha,review_growth,0.4698795180722891,2,92.38282896859845,100.0,41.426157894736846,46.9109660675126,62.60025689819677,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
52,ba_14691801,2025-09,본죽 부산구남점,본그룹,백반·죽·국수,부산광역시,북구,0.4698795180722891,Priority Review,76.65,76.65,Secondary Review,none,operation,review_growth,0.4698795180722891,2,91.05594049508836,72.00912505784362,21.92981578947369,99.52924382742448,85.55622836224671,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
53,ba_14688924,2025-09,본죽&비빔밥 서대문역점,본그룹,백반·죽·국수,서울특별시,종로구,0.4698795180722891,Priority Review,76.42,76.42,Secondary Review,stability_risk,operation,stability,0.4698795180722891,2,90.71876687417112,82.85133614899347,44.272447368421055,95.50778991519016,39.74512437776362,67.53264836803109,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
54,ba_14688931,2025-09,본죽&비빔밥 고양덕은점,본그룹,백반·죽·국수,경기도,고양시,0.4698795180722891,Priority Review,75.93,75.93,Secondary Review,none,operation,review_growth,0.4698795180722891,2,92.91571572734712,54.51202229530158,41.88597368421053,97.02459108932231,89.46829547835728,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
55,ba_14691059,2025-09,본죽 대구세천점,본그룹,백반·죽·국수,대구광역시,달성군,0.4698795180722891,Priority Review,75.85,75.85,Secondary Review,none,operation,review_growth,0.4698795180722891,2,89.05193714228066,57.07069215056912,44.97607894736842,98.04357494500532,89.6096328537749,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
56,ba_14691998,2025-09,본죽&비빔밥 부산엄궁점,본그룹,백반·죽·국수,부산광역시,사상구,0.4698795180722891,Priority Review,75.72,75.72,Secondary Review,none,operation,review_growth,0.4698795180722891,2,91.61333725026664,53.77213416533152,48.42105263157895,97.36315476170113,83.44949717147506,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
57,ba_14690665,2025-09,본죽&비빔밥 장유신문점,본그룹,백반·죽·국수,경상남도,김해시,0.4698795180722891,Priority Review,75.26,75.26,Secondary Review,none,operation,review_growth,0.4698795180722891,2,92.7692519468119,63.733653797070176,31.57894736842105,95.7329003321918,77.56791469507584,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
