platform_shop_id,year_month,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_14702120,2025-07,1.0,152.0,31.0,0.0,0.0,0.14285714285714285,0.0,0,백반·죽·국수,본그룹
ba_14702120,2025-08,1.0,53.0,12.0,0.0,0.0,0.14285714285714285,0.0,0,백반·죽·국수,본그룹
ba_14702996,2025-08,1.0,133.0,30.0,0.0,0.0,0.42857142857142855,0.0,0,백반·죽·국수,본그룹
ba_14703930,2025-07,1.0,221.83333333333334,50.166666666666664,0.0,0.0,0.42857142857142855,0.2222222222222222,1,백반·죽·국수,본그룹
ba_14703930,2025-08,1.0,178.8,39.8,0.4,0.4,0.34285714285714286,0.2333333333333333,1,백반·죽·국수,본그룹
ba_14703930,2025-09,1.0,156.0,35.0,0.0,0.0,0.7142857142857143,0.3333333333333333,0,백반·죽·국수,본그룹
ba_14706394,2025-08,1.0,162.1,34.8,0.1,0.1,0.42857142857142855,0.11666666666666665,1,백반·죽·국수,본그룹
ba_14706394,2025-09,1.0,175.125,36.5,0.75,0.75,0.5,0.10416666666666666,1,백반·죽·국수,본그룹
ba_14708789,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,백반·죽·국수,본그룹
ba_14708929,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_14708929,2025-08,0.25,56.75,13.5,0.0,0.0,0.03571428571428571,0.041666666666666664,0,치킨,굽네치킨
ba_14708929,2025-09,1.0,227.0,54.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0,치킨,굽네치킨
ba_14712294,2025-07,1.0,235.4814814814815,51.925925925925924,0.037037037037037035,0.037037037037037035,0.5291005291005291,0.21604938271604937,1,백반·죽·국수,본그룹
ba_14712294,2025-08,1.0,219.0,47.3,0.15,0.15,0.5428571428571428,0.2333333333333333,0,백반·죽·국수,본그룹
ba_14712294,2025-09,1.0,222.15384615384616,47.30769230769231,0.3076923076923077,0.3076923076923077,0.4835164835164835,0.2564102564102564,0,백반·죽·국수,본그룹
ba_14712797,2025-07,1.0,156.7,31.0,0.4,0.4,0.2571428571428571,0.06666666666666667,0,치킨,굽네치킨
ba_14712797,2025-08,1.0,155.16666666666666,30.666666666666668,0.0,0.0,0.22619047619047616,0.05555555555555555,1,치킨,굽네치킨
ba_14712797,2025-09,1.0,124.9,23.8,0.0,0.0,0.2,0.0,1,치킨,굽네치킨
ba_14714062,2025-08,0.75,135.58333333333334,29.583333333333332,0.16666666666666666,0.16666666666666666,0.35714285714285715,0.1111111111111111,1,백반·죽·국수,본그룹
ba_14714062,2025-07,1.0,227.64705882352942,51.705882352941174,0.058823529411764705,0.058823529411764705,0.42857142857142855,0.18627450980392157,1,백반·죽·국수,본그룹
ba_14714062,2025-09,1.0,134.14285714285714,28.0,0.14285714285714285,0.14285714285714285,0.2653061224489796,0.07142857142857142,0,백반·죽·국수,본그룹
ba_14714070,2025-08,1.0,88.0,17.0,0.0,0.0,0.14285714285714285,0.0,0,백반·죽·국수,본그룹
ba_14715313,2025-07,0.13333333333333333,25.666666666666668,5.566666666666666,0.03333333333333333,0.03333333333333333,0.019047619047619046,0.01111111111111111,0,치킨,굽네치킨
