scenario,scenario_label,platform_shop_id,shop_name,brand,category,sido,sigungu,score,grade
official_current,현재 공식 가중치,ba_14744959,굽네치킨 부산수정점,굽네치킨,치킨,부산광역시,동구,78.1800,B
official_current,현재 공식 가중치,ba_13918069,본죽&비빔밥 평택지제점,본그룹,백반·죽·국수,경기도,평택시,78.1554,B
official_current,현재 공식 가중치,ba_14688687,본죽&비빔밥 신길점,본그룹,백반·죽·국수,서울특별시,영등포구,78.1053,B
official_current,현재 공식 가중치,ba_14690674,본죽&비빔밥 광주신가점,본그룹,백반·죽·국수,광주광역시,광산구,77.9935,B
official_current,현재 공식 가중치,ba_14688522,본죽 시흥은행점,본그룹,백반·죽·국수,경기도,시흥시,77.9634,B
official_current,현재 공식 가중치,ba_13233576,본죽&비빔밥 당진점,본그룹,백반·죽·국수,충청남도,당진시,77.8937,B
official_current,현재 공식 가중치,ba_14625762,본죽&비빔밥 익산부송우남점,본그룹,백반·죽·국수,전북특별자치도,익산시,77.8054,B
official_current,현재 공식 가중치,ba_14691801,본죽 부산구남점,본그룹,백반·죽·국수,부산광역시,북구,77.6326,B
official_current,현재 공식 가중치,ba_14739746,굽네피자 감정점,굽네치킨,피자,경기도,김포시,77.5053,B
official_current,현재 공식 가중치,ba_14694620,본죽&비빔밥 경산신대부적점,본그룹,백반·죽·국수,경상북도,경산시,77.4953,B
official_current,현재 공식 가중치,ba_14692022,본죽&비빔밥 여수죽림점,본그룹,백반·죽·국수,전라남도,여수시,77.3208,B
official_current,현재 공식 가중치,ba_13223329,본죽&비빔밥 양주덕정점,본그룹,백반·죽·국수,경기도,양주시,77.0451,B
official_current,현재 공식 가중치,ba_14627570,본죽&비빔밥 김해안동푸르지오점,본그룹,백반·죽·국수,경상남도,김해시,76.9772,B
official_current,현재 공식 가중치,ba_14691943,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,전라남도,순천시,76.9447,B
official_current,현재 공식 가중치,ba_13260584,본죽&비빔밥 광주신창점,본그룹,백반·죽·국수,광주광역시,광산구,76.9204,B
official_current,현재 공식 가중치,ba_14703930,본죽 중화역점,본그룹,백반·죽·국수,서울특별시,중랑구,76.9089,B
official_current,현재 공식 가중치,ba_10841883,굽네치킨 선부3동점,굽네치킨,치킨,경기도,안산시,76.8968,B
official_current,현재 공식 가중치,ba_14688746,본죽&비빔밥 광명소하지구점,본그룹,백반·죽·국수,경기도,광명시,76.8725,B
official_current,현재 공식 가중치,ba_14691975,본죽&비빔밥 백양산롯데캐슬점,본그룹,백반·죽·국수,부산광역시,부산진구,76.8419,B
official_current,현재 공식 가중치,ba_14687318,본죽&비빔밥 독산정훈단지점,본그룹,백반·죽·국수,서울특별시,금천구,76.8219,B
official_current,현재 공식 가중치,ba_14688729,본죽&비빔밥 과천점,본그룹,백반·죽·국수,경기도,과천시,76.8109,B
official_current,현재 공식 가중치,ba_14691901,본죽&비빔밥 약사점,본그룹,백반·죽·국수,울산광역시,중구,76.7012,B
official_current,현재 공식 가중치,ba_14688848,본죽&비빔밥 연신갈현점,본그룹,백반·죽·국수,서울특별시,은평구,76.6110,B
official_current,현재 공식 가중치,ba_14690081,본죽 신곡시장점,본그룹,백반·죽·국수,서울특별시,양천구,76.4704,B
official_current,현재 공식 가중치,ba_14727064,본죽&비빔밥 전주혁신도시점,본그룹,백반·죽·국수,전북특별자치도,완주군,76.3964,B
official_current,현재 공식 가중치,ba_14691116,본죽&비빔밥 대구칠곡관음점,본그룹,백반·죽·국수,대구광역시,북구,76.3129,B
official_current,현재 공식 가중치,ba_14690718,본죽&비빔밥 광주노대점,본그룹,백반·죽·국수,광주광역시,남구,76.2407,B
official_current,현재 공식 가중치,ba_13234034,본죽 포항오천점,본그룹,백반·죽·국수,경상북도,포항시,76.2405,B
